"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5493","has title","chromium","Fri Aug 09 09:57:45 ICT 2024","passed","Fri Aug 09 09:57:51 ICT 2024","","example.spec.ts","",""
"","3354","get started link","chromium","Fri Aug 09 09:58:02 ICT 2024","passed","Fri Aug 09 09:58:06 ICT 2024","","example.spec.ts","",""
